id_utilisateur,ressource,niveau,date_attribution
U1130,Compta-Validation,Lecture,2024-08-02
U1130,VPN,Lecture,2024-12-05
U1131,CRM,Lecture,2024-12-14
U1131,Compta-Paiement,Admin,2023-08-21
U1131,Messagerie,Lecture,2024-12-16
U1131,AD-Admin,Admin,2024-08-16
U1132,Compta-Paiement,Lecture,2024-11-27
U1132,Compta-Validation,Écriture,2023-12-16
U1132,Messagerie,Lecture,2025-07-25
U1132,CRM,Lecture,2024-06-23
U1133,Compta-Paiement,Écriture,2024-03-19
U1133,ERP-Finance,Écriture,2025-02-17
U1133,Compta-Validation,Lecture,2024-09-18
U1133,VPN,Écriture,2025-01-29
U1134,Compta-Validation,Lecture,2025-02-16
U1135,CRM,Lecture,2023-08-10
U1135,Compta-Paiement,Lecture,2024-11-13
U1135,VPN,Lecture,2024-11-10
U1135,ERP-Finance,Lecture,2025-03-17
U1136,Compta-Paiement,Écriture,2024-04-07
U1136,Sauvegarde,Écriture,2025-02-16
U1137,Sauvegarde,Écriture,2025-01-27
U1137,Compta-Paiement,Lecture,2023-11-19
U1137,Messagerie,Lecture,2025-10-29
U1137,ERP-Finance,Écriture,2025-03-22
U1137,VPN,Écriture,2023-09-24
U1138,Compta-Validation,Lecture,2023-10-19
U1139,Compta-Validation,Lecture,2023-10-21
U1139,ERP-Finance,Écriture,2025-05-11
U1139,Paie-RH,Écriture,2024-06-27
U1139,CRM,Écriture,2023-12-02
U1139,Compta-Paiement,Lecture,2023-09-17
U1140,CRM,Écriture,2024-01-19
U1140,Sauvegarde,Écriture,2025-04-14
U1140,VPN,Lecture,2024-11-10
U1141,VPN,Écriture,2024-03-16
U1141,CRM,Lecture,2024-05-06
U1141,ERP-Finance,Lecture,2025-11-09
U1141,Compta-Paiement,Écriture,2024-05-09
U1141,Compta-Validation,Lecture,2023-09-08
U1142,Messagerie,Écriture,2023-12-03
U1142,ERP-Finance,Lecture,2024-10-12
U1142,CRM,Écriture,2024-08-28
U1143,Paie-RH,Lecture,2024-05-29
U1143,Compta-Validation,Écriture,2025-11-19
U1143,ERP-Finance,Lecture,2024-01-09
U1143,Sauvegarde,Lecture,2025-10-24
U1143,Compta-Paiement,Lecture,2025-10-04
U1144,CRM,Lecture,2023-09-25
U1144,ERP-Finance,Admin,2023-09-21
U1144,Compta-Validation,Écriture,2023-08-27
U1144,Messagerie,Écriture,2025-04-18
U1145,ERP-Finance,Écriture,2024-03-16
U1145,CRM,Lecture,2024-06-26
U1145,Sauvegarde,Lecture,2025-04-08
U1145,Compta-Validation,Admin,2024-06-02
U1146,Compta-Paiement,Admin,2024-04-28
U1146,VPN,Admin,2025-04-10
U1146,Paie-RH,Écriture,2024-05-20
U1146,AD-Admin,Admin,2024-04-03
U1147,Messagerie,Lecture,2025-12-01
U1147,ERP-Finance,Écriture,2023-10-10
U1148,Sauvegarde,Écriture,2025-04-27
U1148,Compta-Paiement,Écriture,2024-11-20
U1148,Messagerie,Lecture,2023-07-23
U1149,Paie-RH,Lecture,2024-12-03
U1149,VPN,Lecture,2024-10-12
U1149,CRM,Écriture,2025-03-20
U1149,Compta-Paiement,Lecture,2025-02-26
U1150,Compta-Paiement,Écriture,2025-07-14
U1150,ERP-Finance,Écriture,2023-07-17
U1151,CRM,Lecture,2025-04-21
U1151,Paie-RH,Lecture,2025-11-20
U1151,ERP-Finance,Écriture,2024-06-03
U1152,Messagerie,Écriture,2025-03-27
U1152,Paie-RH,Lecture,2025-06-20
U1152,CRM,Lecture,2025-01-07
U1152,Compta-Paiement,Écriture,2025-09-16
U1152,Sauvegarde,Lecture,2025-09-07
U1153,Sauvegarde,Lecture,2023-07-21
U1154,ERP-Finance,Écriture,2024-01-24
U1154,VPN,Écriture,2025-02-03
U1154,Compta-Paiement,Lecture,2024-09-09
U1154,CRM,Écriture,2024-09-26
U1154,Paie-RH,Lecture,2025-02-24
U1155,Sauvegarde,Lecture,2023-11-08
U1155,Messagerie,Écriture,2025-06-15
U1155,Compta-Paiement,Lecture,2024-01-01
U1156,Sauvegarde,Admin,2024-03-31
U1156,Compta-Validation,Lecture,2024-08-13
U1156,Messagerie,Lecture,2024-10-12
U1156,CRM,Lecture,2025-06-15
U1157,Messagerie,Lecture,2024-06-02
U1158,ERP-Finance,Admin,2025-06-25
U1158,Paie-RH,Admin,2024-04-01
U1158,Sauvegarde,Lecture,2024-01-11
U1159,Compta-Validation,Écriture,2024-01-20
U1159,Messagerie,Lecture,2025-01-09
U1159,ERP-Finance,Lecture,2025-10-20
U1159,CRM,Lecture,2024-07-09
U1160,Sauvegarde,Lecture,2024-02-10
U1160,Paie-RH,Lecture,2024-05-06
U1160,Compta-Validation,Lecture,2024-01-03
U1161,Sauvegarde,Lecture,2025-06-13
U1161,Paie-RH,Lecture,2024-12-24
U1161,VPN,Écriture,2024-07-17
U1161,Messagerie,Lecture,2024-08-26
U1161,Compta-Validation,Lecture,2024-05-05
U1162,Compta-Validation,Lecture,2025-03-15
U1162,Sauvegarde,Lecture,2024-02-22
U1163,Sauvegarde,Lecture,2025-09-16
U1163,Paie-RH,Lecture,2024-01-08
U1164,Paie-RH,Écriture,2023-11-06
U1164,CRM,Lecture,2025-10-19
U1164,ERP-Finance,Lecture,2025-08-09
U1164,VPN,Écriture,2024-11-10
U1164,Messagerie,Lecture,2023-12-29
U1165,Compta-Paiement,Écriture,2023-12-31
U1165,Paie-RH,Lecture,2024-09-17
U1165,Messagerie,Lecture,2024-04-26
U1165,VPN,Écriture,2024-09-04
U1166,ERP-Finance,Écriture,2025-09-26
U1166,Paie-RH,Admin,2024-05-25
U1166,CRM,Lecture,2024-07-08
U1166,Sauvegarde,Écriture,2024-12-16
U1166,VPN,Lecture,2025-09-16
U1167,Messagerie,Lecture,2023-12-20
U1168,ERP-Finance,Lecture,2024-09-18
U1168,Paie-RH,Lecture,2023-08-12
U1168,Compta-Validation,Écriture,2023-10-07
U1168,CRM,Lecture,2025-11-03
U1169,ERP-Finance,Écriture,2024-07-19
U1170,Compta-Paiement,Lecture,2024-06-29
U1170,Compta-Validation,Admin,2023-08-12
U1170,ERP-Finance,Lecture,2025-02-13
U1170,CRM,Lecture,2025-07-08
U1171,ERP-Finance,Lecture,2024-01-09
U1171,CRM,Lecture,2024-12-31
U1171,Paie-RH,Lecture,2024-11-08
U1171,Sauvegarde,Lecture,2023-10-17
U1172,Paie-RH,Lecture,2025-11-01
U1172,VPN,Lecture,2025-06-04
U1172,Compta-Paiement,Lecture,2025-08-18
U1172,Compta-Validation,Lecture,2024-02-16
U1172,Messagerie,Lecture,2024-04-10
U1173,Messagerie,Lecture,2025-04-16
U1173,CRM,Écriture,2025-10-15
U1174,Compta-Validation,Écriture,2024-12-30
U1174,Compta-Paiement,Écriture,2023-10-17
U1174,ERP-Finance,Lecture,2024-01-03
U1174,Messagerie,Lecture,2024-02-04
U1174,CRM,Lecture,2024-10-31
U1175,ERP-Finance,Lecture,2023-09-02
U1175,Messagerie,Écriture,2023-11-07
U1175,VPN,Lecture,2024-04-13
U1175,Compta-Validation,Lecture,2025-04-08
U1176,Paie-RH,Lecture,2025-06-12
U1176,Compta-Paiement,Lecture,2024-09-20
U1177,Messagerie,Lecture,2024-01-24
U1177,CRM,Lecture,2024-05-11
U1177,Paie-RH,Lecture,2024-10-24
U1178,Sauvegarde,Écriture,2025-10-11
U1179,Compta-Paiement,Écriture,2024-12-16
U1179,Sauvegarde,Lecture,2025-03-13
U1179,CRM,Écriture,2025-07-15
U1179,Messagerie,Lecture,2023-07-21
U1179,Compta-Validation,Écriture,2025-06-04
U1180,VPN,Admin,2023-08-14
U1181,Compta-Validation,Lecture,2024-04-07
U1181,Compta-Paiement,Lecture,2023-10-22
U1182,ERP-Finance,Lecture,2024-01-11
U1183,Messagerie,Lecture,2024-03-23
U1183,AD-Admin,Admin,2024-09-14
U1184,Paie-RH,Écriture,2024-08-20
U1184,Sauvegarde,Lecture,2024-01-05
U1184,ERP-Finance,Lecture,2024-11-02
U1184,Messagerie,Écriture,2025-06-15
U1184,Compta-Validation,Admin,2025-04-28
U1185,Messagerie,Écriture,2023-12-22
U1185,VPN,Lecture,2024-08-17
U1186,Paie-RH,Lecture,2025-11-15
U1186,Compta-Paiement,Écriture,2025-09-16
U1187,Sauvegarde,Écriture,2023-10-24
U1187,CRM,Écriture,2024-10-12
U1188,ERP-Finance,Écriture,2025-03-31
U1189,Compta-Paiement,Lecture,2024-12-08
U1189,Messagerie,Écriture,2023-11-09
U1189,Sauvegarde,Lecture,2024-08-25
U1189,Paie-RH,Écriture,2025-07-08
U1189,AD-Admin,Admin,2024-04-06
U1190,Sauvegarde,Lecture,2023-12-19
U1190,ERP-Finance,Écriture,2024-05-16
U1191,Messagerie,Lecture,2025-06-07
U1191,Sauvegarde,Lecture,2024-10-11
U1192,ERP-Finance,Écriture,2023-12-15
U1192,Messagerie,Lecture,2025-05-02
U1192,Compta-Paiement,Lecture,2025-06-10
U1193,Compta-Paiement,Lecture,2023-12-23
U1194,Paie-RH,Écriture,2024-11-06
U1194,Compta-Validation,Écriture,2024-09-10
U1194,Sauvegarde,Lecture,2024-07-14
U1194,VPN,Lecture,2025-04-28
U1195,Compta-Paiement,Lecture,2025-09-16
U1195,Paie-RH,Écriture,2025-06-12
U1196,ERP-Finance,Écriture,2024-01-26
U1196,Paie-RH,Lecture,2023-08-06
U1196,Compta-Paiement,Écriture,2025-11-18
U1196,Compta-Validation,Lecture,2024-07-19
U1197,Sauvegarde,Lecture,2025-02-06
U1197,Compta-Validation,Écriture,2023-11-25
U1198,Compta-Paiement,Écriture,2024-01-19
U1198,Paie-RH,Lecture,2023-11-25
U1199,Compta-Validation,Lecture,2024-05-26
U1199,Compta-Paiement,Lecture,2025-06-12
U1199,Messagerie,Lecture,2025-04-21
U1200,ERP-Finance,Lecture,2025-11-09
U1200,Sauvegarde,Écriture,2024-06-20
U1200,Messagerie,Lecture,2025-06-27
U1200,Paie-RH,Lecture,2023-12-15
U1201,CRM,Lecture,2025-09-24
U1201,Compta-Validation,Écriture,2025-01-18
U1201,Messagerie,Lecture,2024-09-03
U1202,Messagerie,Lecture,2025-08-07
U1202,Compta-Validation,Lecture,2023-10-05
U1202,CRM,Admin,2025-03-18
U1202,AD-Admin,Admin,2025-01-16
U1203,VPN,Lecture,2024-04-05
U1204,Compta-Validation,Lecture,2023-09-04
U1204,Sauvegarde,Lecture,2023-08-23
U1204,Messagerie,Écriture,2025-08-12
U1205,Compta-Paiement,Lecture,2025-07-19
U1205,Messagerie,Lecture,2024-03-28
U1205,Compta-Validation,Écriture,2024-03-18
U1205,VPN,Admin,2024-11-07
U1206,Compta-Paiement,Lecture,2024-06-24
U1206,Compta-Validation,Lecture,2023-08-04
U1206,ERP-Finance,Écriture,2025-05-23
U1206,Paie-RH,Lecture,2025-09-25
U1207,Compta-Validation,Admin,2024-12-18
U1207,Sauvegarde,Admin,2025-09-02
U1207,CRM,Écriture,2024-03-25
U1207,Paie-RH,Lecture,2024-06-06
U1207,ERP-Finance,Admin,2025-01-18
U1208,Sauvegarde,Écriture,2024-04-19
U1208,ERP-Finance,Écriture,2023-11-04
U1208,AD-Admin,Admin,2024-12-13
U1209,Sauvegarde,Écriture,2023-08-18
U1209,VPN,Écriture,2024-04-23
U1209,Compta-Paiement,Admin,2023-09-06
U1209,CRM,Lecture,2025-05-21
U1210,Compta-Validation,Lecture,2025-03-23
U1211,Sauvegarde,Lecture,2025-05-27
U1211,CRM,Lecture,2025-07-22
U1211,Paie-RH,Lecture,2024-02-25
U1211,Messagerie,Lecture,2024-05-15
U1212,Messagerie,Écriture,2023-10-07
U1212,VPN,Lecture,2025-05-17
U1212,ERP-Finance,Lecture,2024-10-21
U1213,Compta-Validation,Écriture,2023-08-29
U1214,CRM,Lecture,2025-08-27
U1214,Compta-Validation,Lecture,2024-05-15
U1215,ERP-Finance,Lecture,2023-12-28
U1215,Sauvegarde,Lecture,2025-09-18
U1216,CRM,Lecture,2024-04-15
U1216,Sauvegarde,Admin,2024-11-28
U1217,Sauvegarde,Écriture,2025-06-29
U1218,Sauvegarde,Admin,2023-12-23
U1218,Messagerie,Écriture,2024-12-31
U1218,Paie-RH,Lecture,2025-07-30
U1218,Compta-Paiement,Lecture,2025-09-12
U1218,ERP-Finance,Lecture,2024-03-06
U1219,Sauvegarde,Admin,2023-09-15
U1220,VPN,Lecture,2025-05-30
U1220,Sauvegarde,Admin,2024-07-10
U1220,Compta-Paiement,Lecture,2024-06-04
U1220,Messagerie,Écriture,2023-09-20
U1221,Compta-Validation,Lecture,2025-04-17
U1222,Compta-Paiement,Lecture,2024-02-08
U1222,Compta-Validation,Lecture,2024-08-11
U1223,CRM,Écriture,2024-09-20
U1223,Sauvegarde,Écriture,2024-11-26
U1224,ERP-Finance,Écriture,2025-04-04
U1224,Messagerie,Lecture,2025-07-24
U1224,VPN,Écriture,2023-12-21
U1224,CRM,Écriture,2024-05-06
U1224,Paie-RH,Lecture,2023-08-16
U1225,Paie-RH,Écriture,2025-05-12
U1225,Sauvegarde,Lecture,2023-10-14
U1226,Compta-Paiement,Admin,2025-06-19
U1226,Sauvegarde,Écriture,2024-04-20
U1226,Messagerie,Écriture,2024-06-23
U1226,ERP-Finance,Écriture,2024-01-11
U1226,Paie-RH,Écriture,2024-02-03
U1227,Compta-Validation,Écriture,2024-06-19
U1227,Messagerie,Lecture,2024-10-27
U1228,Paie-RH,Lecture,2023-12-16
U1228,ERP-Finance,Lecture,2025-10-01
U1228,Compta-Validation,Écriture,2024-08-13
U1229,Compta-Paiement,Lecture,2025-04-21
U1229,Messagerie,Lecture,2024-03-20
U1229,CRM,Écriture,2023-07-26
U1229,VPN,Admin,2023-10-29
U1229,Paie-RH,Lecture,2024-08-21
U1230,ERP-Finance,Écriture,2025-09-27
U1230,Paie-RH,Lecture,2023-08-11
U1230,Compta-Validation,Lecture,2023-12-19
U1230,VPN,Lecture,2024-08-16
U1231,Messagerie,Admin,2024-01-24
U1232,VPN,Lecture,2025-07-18
U1233,Paie-RH,Écriture,2025-05-12
U1233,Messagerie,Écriture,2025-01-25
U1233,Compta-Validation,Lecture,2025-07-05
U1233,CRM,Écriture,2023-11-19
U1234,Compta-Validation,Lecture,2024-02-12
U1234,Sauvegarde,Admin,2025-06-26
U1234,CRM,Lecture,2025-09-18
U1235,Compta-Paiement,Écriture,2023-08-24
U1235,Paie-RH,Lecture,2024-01-20
U1235,ERP-Finance,Lecture,2024-06-27
U1236,Compta-Paiement,Écriture,2024-04-06
U1236,VPN,Écriture,2025-03-06
U1236,ERP-Finance,Écriture,2024-01-16
U1236,CRM,Écriture,2025-04-02
U1237,VPN,Admin,2023-12-14
U1237,Paie-RH,Écriture,2024-04-30
U1237,Messagerie,Lecture,2023-10-31
U1237,ERP-Finance,Écriture,2024-08-31
U1237,CRM,Écriture,2024-10-20
U1238,ERP-Finance,Lecture,2025-02-16
U1238,CRM,Lecture,2024-04-23
U1238,Paie-RH,Lecture,2025-11-10
U1238,Compta-Paiement,Lecture,2024-09-15
U1238,Sauvegarde,Écriture,2024-10-04
U1239,VPN,Lecture,2025-08-26
U1239,Compta-Paiement,Lecture,2024-04-20
U1239,Paie-RH,Écriture,2025-02-20
U1240,Sauvegarde,Écriture,2023-08-20
U1240,VPN,Lecture,2023-10-10
U1240,ERP-Finance,Lecture,2024-04-26
U1240,Compta-Paiement,Lecture,2024-05-28
U1240,Compta-Validation,Écriture,2025-07-27
U1241,Paie-RH,Écriture,2024-10-14
U1241,Compta-Validation,Écriture,2024-05-30
U1241,CRM,Écriture,2024-06-08
U1241,VPN,Lecture,2023-10-30
U1241,Sauvegarde,Écriture,2025-11-30
U1242,ERP-Finance,Lecture,2025-08-07
U1242,Sauvegarde,Lecture,2024-11-07
U1242,Messagerie,Lecture,2024-05-25
U1243,CRM,Lecture,2024-01-19
U1243,Compta-Validation,Lecture,2024-05-05
U1243,ERP-Finance,Écriture,2024-08-13
U1243,Compta-Paiement,Écriture,2023-11-16
U1243,Paie-RH,Écriture,2025-02-20
U1244,Messagerie,Lecture,2024-04-21
U1244,Sauvegarde,Lecture,2023-10-31
U1244,Paie-RH,Écriture,2025-10-18
U1245,Compta-Paiement,Lecture,2025-03-23
U1246,VPN,Lecture,2024-09-22
U1246,CRM,Lecture,2025-03-05
U1247,Compta-Paiement,Lecture,2024-12-06
U1247,Messagerie,Lecture,2024-04-19
U1247,VPN,Lecture,2024-06-12
U1247,CRM,Lecture,2024-04-17
U1247,Paie-RH,Lecture,2024-05-05
U1248,ERP-Finance,Écriture,2025-03-03
U1248,Compta-Validation,Admin,2025-02-16
U1248,Sauvegarde,Écriture,2024-11-24
U1249,Paie-RH,Écriture,2024-11-08
U1249,ERP-Finance,Lecture,2025-06-04
U1242,AD-Admin,Admin,2024-06-01
U1215,AD-Admin,Admin,2024-06-01
U1069,AD-Admin,Admin,2024-06-01
U1113,AD-Admin,Admin,2024-06-01
U1048,AD-Admin,Admin,2024-06-01
U9900,CRM,Admin,2024-03-15
U9901,Paie-RH,Lecture,2024-03-15
U9902,AD-Admin,Admin,2024-03-15
U9903,ERP-Finance,Écriture,2024-03-15
U9904,Messagerie,Écriture,2024-03-15
U9905,Compta-Paiement,Admin,2024-03-15
U9906,CRM,Écriture,2024-03-15
U9907,Compta-Validation,Lecture,2024-03-15
U1190,Compta-Validation,Écriture,2024-09-01
U1190,Compta-Paiement,Écriture,2024-09-01
U1232,Compta-Validation,Écriture,2024-09-01
U1232,Compta-Paiement,Écriture,2024-09-01
U1168,Compta-Paiement,Écriture,2024-09-01
U1014,Compta-Validation,Écriture,2024-09-01
U1014,Compta-Paiement,Écriture,2024-09-01
U1018,Compta-Validation,Écriture,2024-09-01
U1018,Compta-Paiement,Écriture,2024-09-01
U1212,Compta-Validation,Écriture,2024-09-01
U1212,Compta-Paiement,Écriture,2024-09-01
